Cause Name,Discovery Calendar Year,Discovery Date (Years),Fire Size Class,Statiscal Fire Cause,Fire Number,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Month,Total Acres Burned,Fire Name
Debris Burning,"2,002","2,002",< 0.25 acres,5,49,34.9397,-83.6806,3,0,PHILLIPS COVE
Debris Burning,"2,002","2,002",10 - 100 acres,5,60,33.1,-79.4333,3,68,OSCAR
Campfire,"2,002","2,002",0.5 - 10 acres,4,17,36.8022,-81.4825,3,6,CURRIN VALLEY
Arson,"2,002","2,002",100 - 300 acres,7,40,35.0264,-83.1853,3,250,SATULAH
Equipment Use,"2,002","2,002",0.5 - 10 acres,2,27,29.1203,-81.8664,3,2,TOMAHAWK
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,48,34.6564,-83.3531,3,1,BLACK MTN
Smoking,"2,002","2,002",0.5 - 10 acres,3,6,34.2233,-109.9283,3,5,ROCKY
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,45,36.0472,-82.4806,3,3,SPIVEY
Smoking,"2,002","2,002",0.5 - 10 acres,3,42,35.7667,-82.0433,3,1,WOODY
Miscellaneous,"2,002","2,002",< 0.25 acres,9,2,40.4586,-123.5306,3,0,VAN DUZEN
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,61,33.0003,-79.7342,3,5,SHOVELHEAD
Debris Burning,"2,002","2,002",100 - 300 acres,5,43,35.2533,-83.2733,3,100,PUMPKIN
Campfire,"2,002","2,002",< 0.25 acres,4,4,34.5317,-119.1814,3,0,RING
Debris Burning,"2,002","2,002",100 - 300 acres,5,62,33.2008,-79.8017,3,187,BIG ORANGE
Arson,"2,002","2,002",0.5 - 10 acres,7,26,37.1811,-84.2969,3,1,BILLOWS
Miscellaneous,"2,002","2,002",< 0.25 acres,9,28,33.2739,-111.2267,3,0,GONZALES
Campfire,"2,002","2,002",< 0.25 acres,4,4,35.705,-106.7331,3,0,SAN JUAN
Arson,"2,002","2,002",10 - 100 acres,7,47,35.8389,-83.1175,3,12,CRIPPLE CREEK
Railroad,"2,002","2,002",100 - 300 acres,6,28,30.2194,-82.375,3,139,BATTLE
Campfire,"2,002","2,002",0.5 - 10 acres,4,3,35.8919,-106.7156,3,2,BARLEY
Lightning,"2,002","2,002",< 0.25 acres,1,29,30.3267,-82.5467,3,0,RED
Lightning,"2,002","2,002",10 - 100 acres,1,30,30.315,-82.5333,3,96,FOX
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,3,34.4942,-118.8881,3,3,DOUGH
Campfire,"2,002","2,002",< 0.25 acres,4,7,34.1319,-109.9389,3,0,BILLY
Campfire,"2,002","2,002",< 0.25 acres,4,23,34.3164,-118.3831,3,0,CARLO
Miscellaneous,"2,002","2,002",< 0.25 acres,9,3,41.0503,-122.7,3,0,CARRVILLE
Debris Burning,"2,002","2,002",10 - 100 acres,5,1,44.7142,-84.1167,3,16,LAST HORRAH
Arson,"2,002","2,002",10 - 100 acres,7,21,34.3692,-94.6403,3,10,710
Miscellaneous,"2,002","2,002",10 - 100 acres,9,13,34.6161,-112.6283,3,43,CONTRERAS
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,14,34.64,-112.6306,3,2,COWBOY
Arson,"2,002","2,002",10 - 100 acres,7,49,37.4831,-92.0169,3,12,HENRY
Arson,"2,002","2,002",< 0.25 acres,7,29,33.6,-111.5,3,0,SKUNK
Debris Burning,"2,002","2,002",< 0.25 acres,5,4,40.8578,-122.38,3,0,CASCADE
Arson,"2,002","2,002",0.5 - 10 acres,7,55,30.5719,-89.1039,3,2,THINK I KNOW
Arson,"2,002","2,002",10 - 100 acres,7,22,34.8444,-93.9506,3,10,FOSTER FIELDS
Campfire,"2,002","2,002",0.5 - 10 acres,4,1,38.57,-112.2667,3,2,SHADYDALE
Campfire,"2,002","2,002",< 0.25 acres,4,26,31.4433,-110.2842,3,0,RUINS
Lightning,"2,002","2,002",< 0.25 acres,1,4,33.3353,-108.9019,3,0,HARVE
Miscellaneous,"2,002","2,002",< 0.25 acres,9,3,45.6833,-121.7917,3,0,GLORIA 219
Debris Burning,"2,002","2,002",100 - 300 acres,5,27,33.77,-85.6414,3,136,VALLEY COVE
Children,"2,002","2,002",< 0.25 acres,8,8,34.1806,-110.02,3,0,TATIYEE
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,44,35.1511,-83.9114,3,2,VENGEANCE CREEK
Arson,"2,002","2,002",10 - 100 acres,7,23,34.6931,-94.7667,3,25,COW TRAIL
Arson,"2,002","2,002","300 - 1,000 acres",7,50,37.4792,-91.9639,3,500,AMBITIOUS
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,2,38.585,-112.3889,3,1,NARROWS
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,45,35.1728,-83.2303,3,3,WALNUT CREEK
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,5,35.9997,-106.9997,3,2,CHAPPARRAL
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,1,38.1242,-120.2467,3,0,MINTZ
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,31,29.0258,-81.4611,3,5,COWPEN
Campfire,"2,002","2,002",< 0.25 acres,4,6,35.8775,-106.6272,3,0,REDONDO
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,63,33.1692,-79.7856,3,0,BURNT GATOR
Debris Burning,"2,002","2,002",10 - 100 acres,5,48,35.8056,-83.1236,3,35,LITTLE BEAR
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,50,34.9,-84.1,3,9,STABLE
Miscellaneous,"2,002","2,002",10 - 100 acres,9,5,33.2917,-81.4833,3,75,PRIVATE
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,61,35.1256,-84.3083,3,3,PICKELSIMER
Arson,"2,002","2,002",0.5 - 10 acres,7,27,37.1356,-83.5833,3,2,GOLGOTHA
Arson,"2,002","2,002",0.5 - 10 acres,7,53,34.86,-89.0683,3,7,GOOD FRIDAY
Arson,"2,002","2,002",< 0.25 acres,7,30,33.5667,-111.4833,3,0,SAGUARO
Campfire,"2,002","2,002",< 0.25 acres,4,12,33.5836,-108.5022,3,0,CAMP
Campfire,"2,002","2,002",< 0.25 acres,4,14,33.5836,-108.5022,3,0,CAMP
Arson,"2,002","2,002",100 - 300 acres,7,24,34.8017,-94.1783,3,130,MCCURRY#3
Arson,"2,002","2,002",0.5 - 10 acres,7,54,31.3717,-88.7067,3,5,JONES
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,28,36.9556,-84.4806,3,5,BARREL
Arson,"2,002","2,002",0.5 - 10 acres,7,23,38.7083,-82.6875,3,2,HOWARD RIDGE #5
Children,"2,002","2,002",0.5 - 10 acres,8,46,35.3267,-83.87,3,5,JUMPER
Arson,"2,002","2,002",0.5 - 10 acres,7,62,35.2961,-84.4256,3,5,CULVERT
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,47,35.33,-83.9633,3,1,EASTER EGG
Arson,"2,002","2,002",0.5 - 10 acres,7,28,33.3019,-86.0467,3,7,GOAT LADY
Campfire,"2,002","2,002",< 0.25 acres,4,9,35.8775,-106.7156,3,0,HIGHWAY
Campfire,"2,002","2,002",< 0.25 acres,4,10,32.845,-105.7383,3,0,BENSON
Campfire,"2,002","2,002",< 0.25 acres,4,7,35.66,-105.6917,3,0,DALTON #1
Arson,"2,002","2,002",< 0.25 acres,7,64,33.235,-79.6347,3,0,EGG
Campfire,"2,002","2,002",< 0.25 acres,4,8,35.7289,-105.6397,3,0,DALTON#2
Campfire,"2,002","2,002",< 0.25 acres,4,27,32.1161,-110.4742,3,0,ASH 2
Miscellaneous,"2,002","2,002",< 0.25 acres,9,26,38.6811,-86.6547,3,0,SUGAR RIDGE FIRE
Miscellaneous,"2,002","2,002",100 - 300 acres,9,24,34.6936,-118.6078,3,133,ATMORE
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,26,38.8167,-82.6,3,1,BLACKFORK #1
Lightning,"2,002","2,002",< 0.25 acres,1,28,32.7072,-109.8806,3,0,SNOW FIRE
Campfire,"2,002","2,002",< 0.25 acres,4,29,32.4028,-110.695,3,0,ALDO
Campfire,"2,002","2,002",< 0.25 acres,4,30,32.3456,-110.7119,3,0,GORDON
Smoking,"2,002","2,002",0.5 - 10 acres,3,10,36.2508,-106.7022,3,3,SPEARMAN
Miscellaneous,"2,002","2,002",10 - 100 acres,9,16,33.7406,-117.4381,3,50,INDIAN
Lightning,"2,002","2,002","300 - 1,000 acres",1,5,33.5689,-108.6503,3,578,BULL
Campfire,"2,002","2,002",< 0.25 acres,4,15,34.49,-112.5403,3,0,BUNNY
Campfire,"2,002","2,002",< 0.25 acres,4,39,31.3875,-110.7411,3,0,EGG
Children,"2,002","2,002",< 0.25 acres,8,33,32.4344,-110.7539,3,0,INSPIRATION
Lightning,"2,002","2,002",0.5 - 10 acres,1,1,37.8014,-105.8822,3,9,MCKINNEY GULCH
Miscellaneous,"2,002","2,002",10 - 100 acres,9,52,37.7169,-91.1667,3,39,BILLS HOLLOW
Campfire,"2,002","2,002",< 0.25 acres,4,37,31.3908,-110.7381,3,0,EASTER
Debris Burning,"2,002","2,002",< 0.25 acres,5,32,32.4172,-110.7119,3,0,LOOKOUT
Arson,"2,002","2,002",0.5 - 10 acres,7,23,39.0611,-86.0928,3,1,OGALA 2
Children,"2,002","2,002",0.5 - 10 acres,8,3,39.1525,-105.4728,3,1,TWIN EAGLES
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,53,37.6997,-92.0986,3,2,BIG PINEY
Debris Burning,"2,002","2,002",10 - 100 acres,5,51,36.6344,-92.9228,3,17,FAIRVIEW
Campfire,"2,002","2,002",< 0.25 acres,4,31,31.4242,-110.4386,3,0,SOUTH LAKE
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,33,29.5,-81.9047,3,1,IBIS
Campfire,"2,002","2,002",< 0.25 acres,4,34,31.3928,-110.3625,3,0,BEAR SPRINGS
Equipment Use,"2,002","2,002",< 0.25 acres,2,58,37.6167,-92.3667,3,0,K HIGHWAY
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,32,30.1417,-84.5411,3,8,EASTER
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,35,32.2594,-110.6442,3,1,MILE POST 6
Campfire,"2,002","2,002",0.5 - 10 acres,4,31,33.545,-110.9881,3,1,PINTO
Campfire,"2,002","2,002",0.5 - 10 acres,4,9,34.32,-110.9536,3,1,EASTER
Campfire,"2,002","2,002",< 0.25 acres,4,1,41.145,-120.8078,4,0,ASH
Miscellaneous,"2,002","2,002",< 0.25 acres,9,32,33.6667,-111.0833,4,0,JAVELINA
Campfire,"2,002","2,002",< 0.25 acres,4,1,58.3833,-134.75,4,0,LENA POINT
Campfire,"2,002","2,002",100 - 300 acres,4,4,39.0622,-105.3664,4,192,PLATTE SPRINGS
Miscellaneous,"2,002","2,002",< 0.25 acres,9,34,29.0431,-81.6289,4,0,PERKINS
Campfire,"2,002","2,002",< 0.25 acres,4,3,35.2789,-106.4794,4,0,PIEDRA LIZA
Equipment Use,"2,002","2,002",< 0.25 acres,2,29,35.1867,-93.5772,4,0,APPLETREE SKIDDER
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,27,38.6811,-86.6547,4,1,TOLBERT FIRE
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,16,34.5958,-112.5917,4,1,IRON
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,24,38.9922,-86.1678,4,2,ELLIS
Arson,"2,002","2,002",0.5 - 10 acres,7,17,34.5808,-111.2817,4,1,APRIL
Equipment Use,"2,002","2,002",10 - 100 acres,2,25,34.5094,-118.6072,4,50,LAKE
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,33,33.6358,-111.0733,4,1,LEO
Lightning,"2,002","2,002",< 0.25 acres,1,7,34.1844,-108.4519,4,0,RIM
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,11,36.1175,-106.9017,4,2,LA JARA
Campfire,"2,002","2,002",< 0.25 acres,4,38,31.4578,-110.7153,4,0,HARSHAW
Campfire,"2,002","2,002",< 0.25 acres,4,30,35.6194,-93.1583,4,0,CAMP
Miscellaneous,"2,002","2,002",10 - 100 acres,9,56,36.6667,-90.9667,4,16,LAKE ROAD FIRE
Arson,"2,002","2,002",0.5 - 10 acres,7,66,36.8072,-92.0653,4,1,ANNIVERSARY
Campfire,"2,002","2,002",< 0.25 acres,4,18,35.2283,-111.6133,4,0,DEVIL
Campfire,"2,002","2,002",< 0.25 acres,4,36,32.4344,-110.7539,4,0,SYKES KNOB
Arson,"2,002","2,002",0.5 - 10 acres,7,19,34.5261,-111.3164,4,1,KINDER
Campfire,"2,002","2,002",0.5 - 10 acres,4,2,57.0167,-134.0167,4,4,APRIL FOOLS
Debris Burning,"2,002","2,002",< 0.25 acres,5,1,42.8236,-121.4339,4,0,EARLY
Railroad,"2,002","2,002",< 0.25 acres,6,5,41.1503,-122.2833,4,0,CASTELLA
Campfire,"2,002","2,002",0.5 - 10 acres,4,20,34.7303,-111.445,4,0,FRED
Smoking,"2,002","2,002",0.5 - 10 acres,3,4,39,-79.5283,4,0,RIVER ROAD
Campfire,"2,002","2,002",< 0.25 acres,4,40,32.475,-110.8661,4,0,COTTONWOOD
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,25,38.5331,-86.5028,4,1,AIRPORT
Campfire,"2,002","2,002",10 - 100 acres,4,48,35.4008,-80.0675,4,40,FALLS MOUNTAIN
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,35,29.1953,-81.7675,4,4,NARROW
Equipment Use,"2,002","2,002",< 0.25 acres,2,14,34.2,-117.39,4,0,JEEP
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,31,35.6194,-93.1583,4,3,POWERLINE
Campfire,"2,002","2,002",< 0.25 acres,4,41,31.3728,-110.2636,4,0,SOUTH FORK
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,4,39.0003,-116.9358,4,1,WHISTLER
Campfire,"2,002","2,002",< 0.25 acres,4,20,34.2578,-116.8303,4,0,MAPLE
Arson,"2,002","2,002",0.5 - 10 acres,7,29,34.3583,-87.4003,4,8,GUM POND
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,1,48.8889,-114.9375,4,0,SINCLAIR
Children,"2,002","2,002",< 0.25 acres,8,26,34.4961,-118.2236,4,0,KID
Miscellaneous,"2,002","2,002",10 - 100 acres,9,42,31.8692,-110.0161,4,15,COCHISE
Arson,"2,002","2,002",0.5 - 10 acres,7,65,33.3169,-79.8175,4,2,UNIVERSAL
Miscellaneous,"2,002","2,002",< 0.25 acres,9,66,34.7178,-83.2853,4,0,BRASTOWN
Equipment Use,"2,002","2,002",< 0.25 acres,2,67,34.8014,-83.3006,4,0,RIVER MOUNTAIN
Arson,"2,002","2,002",10 - 100 acres,7,60,34.835,-89.11,4,59,LONG HAUL
Equipment Use,"2,002","2,002",0.5 - 10 acres,2,17,32.8386,-116.7575,4,1,VICTORIA
Arson,"2,002","2,002",< 0.25 acres,7,36,30.3483,-84.4133,4,0,JIMMY
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,2,48.5011,-115.25,4,5,LOWER WARLAND
Lightning,"2,002","2,002",< 0.25 acres,1,2,39.8675,-120.4517,4,0,PINE
Debris Burning,"2,002","2,002",10 - 100 acres,5,63,35.1306,-84.3653,4,59,ROCKY
Arson,"2,002","2,002",< 0.25 acres,7,6,34.4789,-119.5647,4,0,CALIENTE
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,9,47.0008,-114.4725,4,1,OLD THOMPSON RANCH
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,61,34.7283,-89.125,4,1,JOBES DUMP
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,57,37.9506,-90.9503,4,2,SMITH RD
Arson,"2,002","2,002",0.5 - 10 acres,7,62,37.0411,-91.3561,4,5,EARLY MORNING FIRE
Campfire,"2,002","2,002",< 0.25 acres,4,1,46.4633,-114.8708,4,0,JERRY JOHNSON
Campfire,"2,002","2,002",0.5 - 10 acres,4,34,34.2181,-110.8689,4,2,NEAGLIN
Arson,"2,002","2,002",10 - 100 acres,7,2,37.3633,-107.86,4,12,FALLS CREEK
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,49,35.1672,-83.2303,4,2,SAM CORN
Arson,"2,002","2,002",0.5 - 10 acres,7,32,35.765,-93.4583,4,1,DOGWOOD
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,59,37.7514,-91.0514,4,3,DAWES RIDGE
Campfire,"2,002","2,002",0.5 - 10 acres,4,21,35.11,-111.6683,4,6,MUNDS
Lightning,"2,002","2,002",< 0.25 acres,1,2,41.435,-120.9961,4,0,103
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,3,48.8672,-115.0356,4,2,SINCLAIRE 93
Lightning,"2,002","2,002",0.5 - 10 acres,1,10,34.1133,-109.53,4,0,CARNERO
Lightning,"2,002","2,002",< 0.25 acres,1,58,34.2814,-110.8886,4,0,FULTON
Debris Burning,"2,002","2,002",< 0.25 acres,5,12,35.8847,-106.9017,4,0,#2
Arson,"2,002","2,002",10 - 100 acres,7,28,38.3178,-87.1669,4,60,PIKE FIRE
Arson,"2,002","2,002",< 0.25 acres,7,1,47.1147,-94.5053,4,0,WHITE MIDWAY
Lightning,"2,002","2,002",< 0.25 acres,1,6,38.8833,-106.1217,4,0,SAYLOR CABIN
Smoking,"2,002","2,002",< 0.25 acres,3,5,39.0781,-104.9142,4,0,BEAVER CREEK
Lightning,"2,002","2,002",< 0.25 acres,1,37,34.0339,-110.8167,4,0,Q
Campfire,"2,002","2,002",< 0.25 acres,4,43,31.4453,-110.2847,4,0,BOTTLE
Campfire,"2,002","2,002",< 0.25 acres,4,7,39.0636,-104.8403,4,0,MT HERMAN
Lightning,"2,002","2,002",< 0.25 acres,1,36,34.4294,-111.38,4,0,GERONIMO
Lightning,"2,002","2,002",< 0.25 acres,1,44,34.0339,-110.8503,4,0,VOSBERG
Miscellaneous,"2,002","2,002",< 0.25 acres,9,115,36.2992,-115.61,4,0,3 MILE CYN
Lightning,"2,002","2,002",< 0.25 acres,1,35,34.0083,-111.4431,4,0,DEER
Campfire,"2,002","2,002",< 0.25 acres,4,49,31.4439,-110.2864,4,0,FINDER
Campfire,"2,002","2,002",< 0.25 acres,4,44,31.4469,-110.2836,4,0,MUSHROOM
Lightning,"2,002","2,002",< 0.25 acres,1,8,38.8911,-106.0994,4,0,FOUR MILE
Arson,"2,002","2,002",10 - 100 acres,7,67,36.8656,-92.0897,4,29,RUN AROUND
Campfire,"2,002","2,002",< 0.25 acres,4,2,44.0533,-121.4103,4,0,98
Campfire,"2,002","2,002",< 0.25 acres,4,4,35.1717,-112.22,4,0,TWIN
Lightning,"2,002","2,002",< 0.25 acres,1,40,34.21,-110.845,4,0,NEAG
Lightning,"2,002","2,002",< 0.25 acres,1,42,33.7917,-111.45,4,0,BOULDER
Arson,"2,002","2,002",< 0.25 acres,7,49,35.9656,-82.9419,4,0,HOUSTON VALLEY
Lightning,"2,002","2,002",< 0.25 acres,1,22,34.5592,-111.2433,4,0,JUMBO
Lightning,"2,002","2,002",< 0.25 acres,1,39,33.8444,-111.4833,4,0,CANYON
Lightning,"2,002","2,002",< 0.25 acres,1,43,34.1853,-110.8522,4,0,LYNN
Lightning,"2,002","2,002",< 0.25 acres,1,12,34.3997,-111.0878,4,0,PROMONTORY
Lightning,"2,002","2,002",0.5 - 10 acres,1,45,32.65,-109.7917,4,1,VEACH
Arson,"2,002","2,002",10 - 100 acres,7,30,37.1692,-83.6672,4,30,TOWN
Debris Burning,"2,002","2,002",10 - 100 acres,5,50,35.385,-83.8433,4,75,GLADDENS CREEK
Lightning,"2,002","2,002",< 0.25 acres,1,13,34.4144,-110.9092,4,0,WOLFE
Arson,"2,002","2,002",0.5 - 10 acres,7,63,36.9717,-91.3003,4,1,GRASSY AGAIN
Lightning,"2,002","2,002",< 0.25 acres,1,14,34.4181,-110.8472,4,0,LARSON
Lightning,"2,002","2,002",10 - 100 acres,1,46,32.59,-109.86,4,15,HOG
Arson,"2,002","2,002",0.5 - 10 acres,7,64,36.9394,-91.2842,4,2,CUT OFF FIRE
Lightning,"2,002","2,002",< 0.25 acres,1,17,34.2347,-112.3608,4,0,WILDFLOWER
Miscellaneous,"2,002","2,002",< 0.25 acres,9,39,29.2006,-81.905,4,0,REDWATER
Arson,"2,002","2,002",10 - 100 acres,7,69,36.685,-92.7975,4,83,PET HOLLOW
Arson,"2,002","2,002",10 - 100 acres,7,73,36.6664,-92.8442,4,82,JUNCTION
Arson,"2,002","2,002",100 - 300 acres,7,70,36.6769,-92.8039,4,139,GRAY HOLLOW
Arson,"2,002","2,002",100 - 300 acres,7,71,36.6769,-92.8039,4,224,MERRIMAN
Arson,"2,002","2,002",100 - 300 acres,7,72,36.67,-92.8353,4,114,SKYLINE
Arson,"2,002","2,002",0.5 - 10 acres,7,68,36.8261,-92.0528,4,7,CHILDRENS FOREST
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,29,38.1786,-86.6828,4,3,BEARD CEMETARY FIRE
Lightning,"2,002","2,002",< 0.25 acres,1,38,34.195,-110.8983,4,0,TURKEY
Miscellaneous,"2,002","2,002",10 - 100 acres,9,37,29.1694,-81.9331,4,25,SHERRILLS MILL
Lightning,"2,002","2,002",< 0.25 acres,1,41,34.1406,-110.8717,4,0,CROUCH
Lightning,"2,002","2,002",< 0.25 acres,1,45,34.0694,-111.3625,4,0,MOORE
Smoking,"2,002","2,002",10 - 100 acres,3,51,35.1183,-83.38,4,25,ROCKY TOP
Debris Burning,"2,002","2,002",100 - 300 acres,5,51,34.7867,-84.67,4,110,FORT MTN. ESTATES
Campfire,"2,002","2,002",< 0.25 acres,4,51,32.535,-109.775,4,0,JERNIGAN
Lightning,"2,002","2,002",< 0.25 acres,1,55,34.3403,-111.1014,4,0,HORTON
Lightning,"2,002","2,002",< 0.25 acres,1,46,34.2467,-111.2289,4,0,LION
Lightning,"2,002","2,002",< 0.25 acres,1,11,33.2692,-108.4358,4,0,WEST
Arson,"2,002","2,002",0.5 - 10 acres,7,11,33.0022,-105.4911,4,4,LOWER ELK
Lightning,"2,002","2,002",0.5 - 10 acres,1,9,33.2339,-107.9172,4,1,SPRING
Lightning,"2,002","2,002",100 - 300 acres,1,48,32.4047,-110.1169,4,192,REILEY PEAK
Lightning,"2,002","2,002",< 0.25 acres,1,47,34.2528,-111.0103,4,0,SNOW
Lightning,"2,002","2,002",< 0.25 acres,1,48,34.3739,-111.1275,4,0,HIGHLINE
Lightning,"2,002","2,002",< 0.25 acres,1,49,34.3378,-111.1264,4,0,CABIN
Campfire,"2,002","2,002",< 0.25 acres,4,9,38.8911,-106.1181,4,0,375C
Lightning,"2,002","2,002",< 0.25 acres,1,54,34.2856,-111.1353,4,0,POWERLINE
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,52,35.06,-84.1819,4,2,DICKEY KNOB
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,53,35.0436,-83.2369,4,3,OWL GAP
Lightning,"2,002","2,002",< 0.25 acres,1,51,34.2839,-111.1225,4,0,GREEN
Campfire,"2,002","2,002",< 0.25 acres,4,1,43.6664,-122.3981,4,0,TUFTI
Lightning,"2,002","2,002",< 0.25 acres,1,8,33.0247,-108.3742,4,0,GOOSE
Debris Burning,"2,002","2,002",10 - 100 acres,5,74,37.5856,-91.1008,4,12,OATES
Smoking,"2,002","2,002",10 - 100 acres,3,54,35.1333,-82.8833,4,10,MORTON GAP
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,56,30.7017,-89.2461,4,0,NEW FENCE
Campfire,"2,002","2,002",10 - 100 acres,4,2,40.9133,-109.2889,4,14,SUPER DAVES
Lightning,"2,002","2,002",< 0.25 acres,1,50,34.2342,-110.8689,4,0,COLCORD
Lightning,"2,002","2,002",< 0.25 acres,1,52,34.2342,-110.8858,4,0,CORD
Lightning,"2,002","2,002",0.5 - 10 acres,1,10,33.1683,-107.99,4,1,MOORE
Lightning,"2,002","2,002",0.5 - 10 acres,1,12,32.78,-105.8483,4,1,WEST SIDE
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,56,35.29,-83.6367,4,2,SWAIN ROAD
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,55,35.0494,-83.7233,4,1,WOOLEY KNOB
Lightning,"2,002","2,002",< 0.25 acres,1,53,34.2939,-111.1072,4,0,DRAW
Arson,"2,002","2,002","300 - 1,000 acres",7,29,36.7789,-84.315,4,990,CANE CREEK
Lightning,"2,002","2,002",< 0.25 acres,1,5,35.4136,-108.5381,4,0,TURKEY
Lightning,"2,002","2,002",< 0.25 acres,1,4,33.9006,-107.6008,4,0,OLD
Lightning,"2,002","2,002",< 0.25 acres,1,57,34.1667,-111.0172,4,0,GRUWELL
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,4,35.3161,-84.1317,4,1,FISHERMAN1
Campfire,"2,002","2,002",< 0.25 acres,4,129,35.2717,-106.4583,4,0,248
Lightning,"2,002","2,002",< 0.25 acres,1,18,34.4153,-112.4083,4,0,POWER
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,3,35.3169,-84.1358,4,1,SHORTCUT
Miscellaneous,"2,002","2,002",< 0.25 acres,9,5,35.3286,-84.1553,4,0,FISHERMAN2
Lightning,"2,002","2,002",0.5 - 10 acres,1,56,34.1667,-111.0172,4,2,SPRING
Miscellaneous,"2,002","2,002",< 0.25 acres,9,52,34.8144,-83.8342,4,0,JONAS MOUNTAIN
Arson,"2,002","2,002",10 - 100 acres,7,31,36.7867,-84.3633,4,14,AT IT AGAIN
Arson,"2,002","2,002",10 - 100 acres,7,53,34.8586,-84.5803,4,10,FS RD 64
Lightning,"2,002","2,002",< 0.25 acres,1,19,34.4836,-112.4672,4,0,BEAN
Arson,"2,002","2,002",10 - 100 acres,7,60,37.8356,-91.91,4,40,FAT MAN SKINNY FIRE
Arson,"2,002","2,002",< 0.25 acres,7,27,34.1856,-117.8431,4,0,PARTY
Campfire,"2,002","2,002",< 0.25 acres,4,6,41.2847,-122.3689,4,0,DEER
Equipment Use,"2,002","2,002",10 - 100 acres,2,26,31.0167,-93.1417,4,30,026 RANGE 8
Arson,"2,002","2,002",100 - 300 acres,7,54,34.8867,-83.2386,4,275,MARCUS MTN. #1
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,6,35.3431,-84.2414,4,2,TRILLLIUM
Children,"2,002","2,002",< 0.25 acres,8,4,44.3186,-121.5806,4,0,103
Campfire,"2,002","2,002",< 0.25 acres,4,3,43.9506,-121.2186,4,0,102
Campfire,"2,002","2,002",< 0.25 acres,4,10,39.375,-105.0917,4,0,RAMPART
Miscellaneous,"2,002","2,002",< 0.25 acres,9,25,38.5667,-82.7,4,0,LAGRANGE #2
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,8,43.6417,-103.6483,4,4,CARROLL CREEK
Arson,"2,002","2,002",10 - 100 acres,7,55,34.8744,-83.2436,4,55,MARCUS #2
Miscellaneous,"2,002","2,002",10 - 100 acres,9,31,34.0917,-87.3528,4,40,DOC BLAKE
Lightning,"2,002","2,002",0.5 - 10 acres,1,50,32.6617,-109.8603,4,0,FLAT
Campfire,"2,002","2,002",< 0.25 acres,4,1,38.5847,-119.8672,4,0,INDIAN
Lightning,"2,002","2,002",0.5 - 10 acres,1,61,33.7333,-110.9506,4,1,CARR
Miscellaneous,"2,002","2,002",10 - 100 acres,9,33,36.2033,-92.3183,4,76,LOOKOUT
Arson,"2,002","2,002",0.5 - 10 acres,7,11,37.5833,-88.475,4,2,HOBBS ROAD
